,ATC,ATC_info,ATC_hierarchy,used_in_diabetes,is_terminal_category,number_of_children
0,A,Alimentary tract and metabolism,['A'],False,4284,4284
1,A16,Other alimentary tract and metabolism products,"['A16', 'A']",False,21,21
2,A16A,Other alimentary tract and metabolism products,"['A16A', 'A16', 'A']",False,1,1
3,A15,Appetite stimulants,"['A15', 'A']",False,25,25
4,A14,Anabolic agents for systemic use,"['A14', 'A']",False,26,26
5,A14B,Other anabolic agents,"['A14B', 'A14', 'A']",False,1,1
6,A14A,Anabolic steroids,"['A14A', 'A14', 'A']",False,1,1
7,A13,Tonics,"['A13', 'A']",False,32,32
8,A13A,Tonics,"['A13A', 'A13', 'A']",False,1,1
9,A12,Mineral supplements,"['A12', 'A']",False,95,95
10,A12C,Other mineral supplements,"['A12C', 'A12', 'A']",False,28,28
11,A12CX,Other mineral products,"['A12CX', 'A12C', 'A12', 'A']",False,1,1
12,A12CE,Selenium,"['A12CE', 'A12C', 'A12', 'A']",False,3,3
13,A12CE02,Sodium selenite,"['A12CE02', 'A12CE', 'A12C', 'A12', 'A']",False,1,1
14,A12CE01,Sodium selenate,"['A12CE01', 'A12CE', 'A12C', 'A12', 'A']",False,1,1
15,A12CD,Fluoride,"['A12CD', 'A12C', 'A12', 'A']",False,4,4
16,A12CD51,"Fluoride, combinations","['A12CD51', 'A12CD', 'A12C', 'A12', 'A']",False,1,1
17,A12CD02,Sodium monofluorophosphate,"['A12CD02', 'A12CD', 'A12C', 'A12', 'A']",False,1,1
18,A12CD01,Sodium fluoride,"['A12CD01', 'A12CD', 'A12C', 'A12', 'A']",False,1,1
19,A12CC,Magnesium,"['A12CC', 'A12C', 'A12', 'A']",False,12,12
20,A12CC30,Magnesium (different salts in combination),"['A12CC30', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
21,A12CC10,Magnesium oxide,"['A12CC10', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
22,A12CC09,Magnesium orotate,"['A12CC09', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
23,A12CC08,Magnesium pidolate,"['A12CC08', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
24,A12CC07,Magnesium levulinate,"['A12CC07', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
25,A12CC06,Magnesium lactate,"['A12CC06', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
26,A12CC05,Magnesium aspartate,"['A12CC05', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
27,A12CC04,Magnesium citrate,"['A12CC04', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
28,A12CC03,Magnesium gluconate,"['A12CC03', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
29,A12CC02,Magnesium sulfate,"['A12CC02', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
30,A12CC01,Magnesium chloride,"['A12CC01', 'A12CC', 'A12C', 'A12', 'A']",False,1,1
31,A12CB,Zinc,"['A12CB', 'A12C', 'A12', 'A']",False,4,4
