ATC,ATC_info,ATC_hierarchy,used_in_diabetes,is_terminal_category,number_of_children,Mechanism of Action,Targets,Indication,ATC Code,Drug Name,RxCUI,Ingredients,Clinical Dose Groups,Dose Form Groups,Branded Dose Groups,mechanism_keywords,num_targets,mechanism_complexity,indication_category,num_dfg,num_ingridients,missing_mechanism,missing_targets,missing_indication,avg_mechanism_similarity,avg_target_overlap
A07AA10,Colistin,"['A07AA10', 'A07AA', 'A07A', 'A07', 'A']",True,1,1,"Colistin is a surface active agent which penetrates into and disrupts the bacterial cell membrane. Colistin is polycationic and has both hydrophobic and lipophilic moieties. It interacts with the bacterial cytoplasmic membrane, changing its permeability. This effect is bactericidal. There is also evidence that polymyxins enter the cell and precipitate cytoplasmic components, primarily ribosomes.","ADihydropteroate synthase (binder, Escherichia coli (strain K12)); ABacterial outer membrane (incorporation into and destabilization, Bacteria)","For the treatment of acute or chronic infections due to sensitive strains of certain gram-negative bacilli, particularly Pseudomonas aeruginosa.",A07AA,Colistin,2709,colistin,"colistin / hydrocortisone / neomycin / thonzonium Otic Product, colistin Injectable Product, colistin Oral Product, colistin Pill","Injectable Product, Oral Product, Pill, Otic Product","Coly Mycin M Injectable Product, Cortisporin-TC Otic Product","['interacts', 'that', 'its', 'Colistin', 'effect', 'disrupts', 'This', 'both', 'evidence', 'surface', 'the', 'moieties', 'precipitate', 'polycationic', 'cell', 'permeability', 'membrane', 'has', 'changing', 'primarily', 'active', 'components', 'bacterial', 'It', 'polymyxins', 'enter', 'agent', 'also', 'with', 'a', 'into', 'which', 'and', 'lipophilic', 'hydrophobic', 'There', 'ribosomes', 'bactericidal', 'is', 'penetrates', 'cytoplasmic']",3,54,chronic,4,1,False,False,False,0.03311422923370538,0.0
A08AA10,Sibutramine,"['A08AA10', 'A08AA', 'A08A', 'A08', 'A']",True,1,1,"Sibutramine produces its therapeutic effects by inhibition of norepinephrine (NE), serotonin (5-hydroxytryptamine, 5-HT), and to a lesser extent, dopamine reuptake at the neuronal synapse. By inhibiting the reuptake of these neurotransmitters, sibutramine promotes a sense of satiety and decrease in appetite, thereby reducing food intake. Data from animal studies also suggest that sibutramine may also increase energy expenditure through thermogenic effects in both the basal and fed states, but this has not been confirmed in humans. Sibutramine and its major pharmacologically active metabolites (M1 and M2) do not act via release of monoamines.","ASodium-dependent dopamine transporter (inhibitor, Humans); ASodium-dependent serotonin transporter (inhibitor, Humans); ASodium-dependent noradrenaline transporter (inhibitor, Humans)",For the treatment of obesity.,A08AA,Sibutramine,1294535,sibutramine,"sibutramine Oral Product, sibutramine Pill","Oral Product, Pill",,"['through', 'been', 'energy', 'that', 'promotes', 'its', 'sense', 'monoamines', 'animal', 'both', 'norepinephrine', 'confirmed', 'by', 'the', 'neuronal', 'extent', 'at', 'inhibiting', 'thermogenic', 'major', 'release', 'thereby', 'fed', 'hydroxytryptamine', 'increase', 'this', 'not', 'has', 'By', 'active', 'food', 'appetite', 'reducing', 'M1', 'these', 'also', 'NE', 'lesser', 'in', 'reuptake', 'synapse', 'may', 'a', 'satiety', 'studies', 'from', 'effects', 'metabolites', 'M2', 'produces', 'humans', 'pharmacologically', 'decrease', 'and', 'HT', 'Data', 'expenditure', 'do', 'suggest', 'states', 'intake', 'basal', 'sibutramine', '5', 'inhibition', 'therapeutic', 'to', 'serotonin', 'dopamine', 'neurotransmitters', 'but', 'via', 'Sibutramine', 'of', 'act']",4,93,obesity,2,1,False,False,False,0.044316853698499435,0.001128668171557562
A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism.","AInsulin receptor (agonist, Humans); UInsulin-like growth factor 1 receptor (activator, Humans); UCarboxypeptidase E (modulatorproduct of, Humans); UCCN family member 3 (downregulator, Humans); ULow-density lipoprotein receptor-related protein 2 (substrate, Humans); UInsulin-like growth factor-binding protein 7 (inhibitorbinder, Humans)",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AB,Insulin (human),253182,"insulin, regular, human","insulin, regular, human Injectable Product, insulin, regular, human Inhalant Product, insulin isophane / insulin, regular, human Injectable Product","Inhalant Product, Injectable Product","Humulin Injectable Product, Humulin R Injectable Product, Novolin Injectable Product, Novolin R Injectable Product, Afrezza Inhalant Product, Myxredlin Injectable Product","['bound', 'inhibits', 'regulation', 'C', '1', 'binds', 'muscle', 'two', 'PI3', 'also', 'gluconeogenesis', 'GLUT4', 'downstream', 'an', 'stimulating', 'play', 'Akt', 'protein', 'uptake', 'anabolic', 'Insulin', 'including', 'autophosphorylate', 'glucose', 'metabolism', 'activation', 'except', 'numerous', 'primary', 'IR', 'APS', 'activated', 'Gab', 'receptor', 'fatty', 'proteins', 'signaling', 'kinase', 'other', 'which', 'and', 'molecules', 'intracellular', 'activity', 'tyrosine', 'as', 'to', 'stimulates', 'catabolism', 'lead', 'able', 'amino', 'promotes', 'PKC', 'role', 'binding', 'extracellular', 'It', 'critical', 'in', 'beta', 'alpha', 'intrinsic', 'insulin', '4', 'consisting', 'units', 'is', 'phosphorylate', 'glycogen', 'of', 'Cbl', 'Shc', 'brain', 'These', 'the', 'The', 'tissues', 'heterotetrameric', 'has', 'synthesis', 'liver', 'a', 'regulates', 'into', 'subunit', 'transmembrane', 'substrates', 'such', 'turn', 'transporter', 'IRS', 'acid', 'adipose']",7,160,other,2,3,False,False,False,0.10425168780696994,0.25
A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism.","AInsulin receptor (agonist, Humans); UInsulin-like growth factor 1 receptor (activator, Humans); UCarboxypeptidase E (modulatorproduct of, Humans); UCCN family member 3 (downregulator, Humans); ULow-density lipoprotein receptor-related protein 2 (substrate, Humans); UInsulin-like growth factor-binding protein 7 (inhibitorbinder, Humans)",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AB,Insulin (pork),221109,"insulin, regular, pork","insulin, regular, pork Injectable Product, insulin isophane / insulin, regular, pork Injectable Product",Injectable Product,,"['bound', 'inhibits', 'regulation', 'C', '1', 'binds', 'muscle', 'two', 'PI3', 'also', 'gluconeogenesis', 'GLUT4', 'downstream', 'an', 'stimulating', 'play', 'Akt', 'protein', 'uptake', 'anabolic', 'Insulin', 'including', 'autophosphorylate', 'glucose', 'metabolism', 'activation', 'except', 'numerous', 'primary', 'IR', 'APS', 'activated', 'Gab', 'receptor', 'fatty', 'proteins', 'signaling', 'kinase', 'other', 'which', 'and', 'molecules', 'intracellular', 'activity', 'tyrosine', 'as', 'to', 'stimulates', 'catabolism', 'lead', 'able', 'amino', 'promotes', 'PKC', 'role', 'binding', 'extracellular', 'It', 'critical', 'in', 'beta', 'alpha', 'intrinsic', 'insulin', '4', 'consisting', 'units', 'is', 'phosphorylate', 'glycogen', 'of', 'Cbl', 'Shc', 'brain', 'These', 'the', 'The', 'tissues', 'heterotetrameric', 'has', 'synthesis', 'liver', 'a', 'regulates', 'into', 'subunit', 'transmembrane', 'substrates', 'such', 'turn', 'transporter', 'IRS', 'acid', 'adipose']",7,160,other,1,3,False,False,False,0.10425168780696994,0.25
A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism.","AInsulin receptor (agonist, Humans); UInsulin-like growth factor 1 receptor (activator, Humans); UCarboxypeptidase E (modulatorproduct of, Humans); UCCN family member 3 (downregulator, Humans); ULow-density lipoprotein receptor-related protein 2 (substrate, Humans); UInsulin-like growth factor-binding protein 7 (inhibitorbinder, Humans)",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AB,Insulin (human),253182,"insulin, regular, human","insulin, regular, human Injectable Product, insulin, regular, human Inhalant Product, insulin isophane / insulin, regular, human Injectable Product","Inhalant Product, Injectable Product","Humulin Injectable Product, Humulin R Injectable Product, Novolin Injectable Product, Novolin R Injectable Product, Afrezza Inhalant Product, Myxredlin Injectable Product","['bound', 'inhibits', 'regulation', 'C', '1', 'binds', 'muscle', 'two', 'PI3', 'also', 'gluconeogenesis', 'GLUT4', 'downstream', 'an', 'stimulating', 'play', 'Akt', 'protein', 'uptake', 'anabolic', 'Insulin', 'including', 'autophosphorylate', 'glucose', 'metabolism', 'activation', 'except', 'numerous', 'primary', 'IR', 'APS', 'activated', 'Gab', 'receptor', 'fatty', 'proteins', 'signaling', 'kinase', 'other', 'which', 'and', 'molecules', 'intracellular', 'activity', 'tyrosine', 'as', 'to', 'stimulates', 'catabolism', 'lead', 'able', 'amino', 'promotes', 'PKC', 'role', 'binding', 'extracellular', 'It', 'critical', 'in', 'beta', 'alpha', 'intrinsic', 'insulin', '4', 'consisting', 'units', 'is', 'phosphorylate', 'glycogen', 'of', 'Cbl', 'Shc', 'brain', 'These', 'the', 'The', 'tissues', 'heterotetrameric', 'has', 'synthesis', 'liver', 'a', 'regulates', 'into', 'subunit', 'transmembrane', 'substrates', 'such', 'turn', 'transporter', 'IRS', 'acid', 'adipose']",7,160,other,2,3,False,False,False,0.10425168780696994,0.25
A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism.","AInsulin receptor (agonist, Humans); UInsulin-like growth factor 1 receptor (activator, Humans); UCarboxypeptidase E (modulatorproduct of, Humans); UCCN family member 3 (downregulator, Humans); ULow-density lipoprotein receptor-related protein 2 (substrate, Humans); UInsulin-like growth factor-binding protein 7 (inhibitorbinder, Humans)",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AB,Insulin aspart,51428,"insulin aspart, human","insulin aspart protamine, human / insulin aspart, human Injectable Product, insulin aspart, human Injectable Product, insulin aspart, human / insulin degludec Injectable Product",Injectable Product,"NovoLog Injectable Product, NovoLog Mix Injectable Product, Fiasp Injectable Product","['bound', 'inhibits', 'regulation', 'C', '1', 'binds', 'muscle', 'two', 'PI3', 'also', 'gluconeogenesis', 'GLUT4', 'downstream', 'an', 'stimulating', 'play', 'Akt', 'protein', 'uptake', 'anabolic', 'Insulin', 'including', 'autophosphorylate', 'glucose', 'metabolism', 'activation', 'except', 'numerous', 'primary', 'IR', 'APS', 'activated', 'Gab', 'receptor', 'fatty', 'proteins', 'signaling', 'kinase', 'other', 'which', 'and', 'molecules', 'intracellular', 'activity', 'tyrosine', 'as', 'to', 'stimulates', 'catabolism', 'lead', 'able', 'amino', 'promotes', 'PKC', 'role', 'binding', 'extracellular', 'It', 'critical', 'in', 'beta', 'alpha', 'intrinsic', 'insulin', '4', 'consisting', 'units', 'is', 'phosphorylate', 'glycogen', 'of', 'Cbl', 'Shc', 'brain', 'These', 'the', 'The', 'tissues', 'heterotetrameric', 'has', 'synthesis', 'liver', 'a', 'regulates', 'into', 'subunit', 'transmembrane', 'substrates', 'such', 'turn', 'transporter', 'IRS', 'acid', 'adipose']",7,160,other,1,2,False,False,False,0.10425168780696994,0.25
A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism.","AInsulin receptor (agonist, Humans); UInsulin-like growth factor 1 receptor (activator, Humans); UCarboxypeptidase E (modulatorproduct of, Humans); UCCN family member 3 (downregulator, Humans); ULow-density lipoprotein receptor-related protein 2 (substrate, Humans); UInsulin-like growth factor-binding protein 7 (inhibitorbinder, Humans)",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AB,Insulin lispro,86009,insulin lispro,"insulin lispro / insulin lispro protamine, human Injectable Product, insulin lispro Injectable Product",Injectable Product,"Humalog Injectable Product, Humalog Mix Injectable Product, Admelog Injectable Product, Lyumjev Injectable Product","['bound', 'inhibits', 'regulation', 'C', '1', 'binds', 'muscle', 'two', 'PI3', 'also', 'gluconeogenesis', 'GLUT4', 'downstream', 'an', 'stimulating', 'play', 'Akt', 'protein', 'uptake', 'anabolic', 'Insulin', 'including', 'autophosphorylate', 'glucose', 'metabolism', 'activation', 'except', 'numerous', 'primary', 'IR', 'APS', 'activated', 'Gab', 'receptor', 'fatty', 'proteins', 'signaling', 'kinase', 'other', 'which', 'and', 'molecules', 'intracellular', 'activity', 'tyrosine', 'as', 'to', 'stimulates', 'catabolism', 'lead', 'able', 'amino', 'promotes', 'PKC', 'role', 'binding', 'extracellular', 'It', 'critical', 'in', 'beta', 'alpha', 'intrinsic', 'insulin', '4', 'consisting', 'units', 'is', 'phosphorylate', 'glycogen', 'of', 'Cbl', 'Shc', 'brain', 'These', 'the', 'The', 'tissues', 'heterotetrameric', 'has', 'synthesis', 'liver', 'a', 'regulates', 'into', 'subunit', 'transmembrane', 'substrates', 'such', 'turn', 'transporter', 'IRS', 'acid', 'adipose']",7,160,other,1,1,False,False,False,0.10425168780696994,0.25
A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism.","AInsulin receptor (agonist, Humans); UInsulin-like growth factor 1 receptor (activator, Humans); UCarboxypeptidase E (modulatorproduct of, Humans); UCCN family member 3 (downregulator, Humans); ULow-density lipoprotein receptor-related protein 2 (substrate, Humans); UInsulin-like growth factor-binding protein 7 (inhibitorbinder, Humans)",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AB,Insulin (pork),221109,"insulin, regular, pork","insulin, regular, pork Injectable Product, insulin isophane / insulin, regular, pork Injectable Product",Injectable Product,,"['bound', 'inhibits', 'regulation', 'C', '1', 'binds', 'muscle', 'two', 'PI3', 'also', 'gluconeogenesis', 'GLUT4', 'downstream', 'an', 'stimulating', 'play', 'Akt', 'protein', 'uptake', 'anabolic', 'Insulin', 'including', 'autophosphorylate', 'glucose', 'metabolism', 'activation', 'except', 'numerous', 'primary', 'IR', 'APS', 'activated', 'Gab', 'receptor', 'fatty', 'proteins', 'signaling', 'kinase', 'other', 'which', 'and', 'molecules', 'intracellular', 'activity', 'tyrosine', 'as', 'to', 'stimulates', 'catabolism', 'lead', 'able', 'amino', 'promotes', 'PKC', 'role', 'binding', 'extracellular', 'It', 'critical', 'in', 'beta', 'alpha', 'intrinsic', 'insulin', '4', 'consisting', 'units', 'is', 'phosphorylate', 'glycogen', 'of', 'Cbl', 'Shc', 'brain', 'These', 'the', 'The', 'tissues', 'heterotetrameric', 'has', 'synthesis', 'liver', 'a', 'regulates', 'into', 'subunit', 'transmembrane', 'substrates', 'such', 'turn', 'transporter', 'IRS', 'acid', 'adipose']",7,160,other,1,3,False,False,False,0.10425168780696994,0.25
A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism.","AInsulin receptor (agonist, Humans); UInsulin-like growth factor 1 receptor (activator, Humans); UCarboxypeptidase E (modulatorproduct of, Humans); UCCN family member 3 (downregulator, Humans); ULow-density lipoprotein receptor-related protein 2 (substrate, Humans); UInsulin-like growth factor-binding protein 7 (inhibitorbinder, Humans)",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AB,Insulin (human),253182,"insulin, regular, human","insulin, regular, human Injectable Product, insulin, regular, human Inhalant Product, insulin isophane / insulin, regular, human Injectable Product","Inhalant Product, Injectable Product","Humulin Injectable Product, Humulin R Injectable Product, Novolin Injectable Product, Novolin R Injectable Product, Afrezza Inhalant Product, Myxredlin Injectable Product","['bound', 'inhibits', 'regulation', 'C', '1', 'binds', 'muscle', 'two', 'PI3', 'also', 'gluconeogenesis', 'GLUT4', 'downstream', 'an', 'stimulating', 'play', 'Akt', 'protein', 'uptake', 'anabolic', 'Insulin', 'including', 'autophosphorylate', 'glucose', 'metabolism', 'activation', 'except', 'numerous', 'primary', 'IR', 'APS', 'activated', 'Gab', 'receptor', 'fatty', 'proteins', 'signaling', 'kinase', 'other', 'which', 'and', 'molecules', 'intracellular', 'activity', 'tyrosine', 'as', 'to', 'stimulates', 'catabolism', 'lead', 'able', 'amino', 'promotes', 'PKC', 'role', 'binding', 'extracellular', 'It', 'critical', 'in', 'beta', 'alpha', 'intrinsic', 'insulin', '4', 'consisting', 'units', 'is', 'phosphorylate', 'glycogen', 'of', 'Cbl', 'Shc', 'brain', 'These', 'the', 'The', 'tissues', 'heterotetrameric', 'has', 'synthesis', 'liver', 'a', 'regulates', 'into', 'subunit', 'transmembrane', 'substrates', 'such', 'turn', 'transporter', 'IRS', 'acid', 'adipose']",7,160,other,2,3,False,False,False,0.10425168780696994,0.25
A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism.","AInsulin receptor (agonist, Humans); UInsulin-like growth factor 1 receptor (activator, Humans); UCarboxypeptidase E (modulatorproduct of, Humans); UCCN family member 3 (downregulator, Humans); ULow-density lipoprotein receptor-related protein 2 (substrate, Humans); UInsulin-like growth factor-binding protein 7 (inhibitorbinder, Humans)",Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,A10AB,Insulin lispro,86009,insulin lispro,"insulin lispro / insulin lispro protamine, human Injectable Product, insulin lispro Injectable Product",Injectable Product,"Humalog Injectable Product, Humalog Mix Injectable Product, Admelog Injectable Product, Lyumjev Injectable Product","['bound', 'inhibits', 'regulation', 'C', '1', 'binds', 'muscle', 'two', 'PI3', 'also', 'gluconeogenesis', 'GLUT4', 'downstream', 'an', 'stimulating', 'play', 'Akt', 'protein', 'uptake', 'anabolic', 'Insulin', 'including', 'autophosphorylate', 'glucose', 'metabolism', 'activation', 'except', 'numerous', 'primary', 'IR', 'APS', 'activated', 'Gab', 'receptor', 'fatty', 'proteins', 'signaling', 'kinase', 'other', 'which', 'and', 'molecules', 'intracellular', 'activity', 'tyrosine', 'as', 'to', 'stimulates', 'catabolism', 'lead', 'able', 'amino', 'promotes', 'PKC', 'role', 'binding', 'extracellular', 'It', 'critical', 'in', 'beta', 'alpha', 'intrinsic', 'insulin', '4', 'consisting', 'units', 'is', 'phosphorylate', 'glycogen', 'of', 'Cbl', 'Shc', 'brain', 'These', 'the', 'The', 'tissues', 'heterotetrameric', 'has', 'synthesis', 'liver', 'a', 'regulates', 'into', 'subunit', 'transmembrane', 'substrates', 'such', 'turn', 'transporter', 'IRS', 'acid', 'adipose']",7,160,other,1,1,False,False,False,0.10425168780696994,0.25
